time(micros),mv,led,gain,mvfiltered,mvestimated
2479248,34,0,Inf,35,0
2484800,34,0,Inf,35,0
2490352,34,0,Inf,35,0
2495912,39,0,Inf,36,0
2501464,34,0,Inf,35,0
2507024,34,0,Inf,35,0
2512576,34,0,Inf,35,0
2518136,34,0,Inf,35,0
2523688,34,0,Inf,34,0
2529240,34,0,Inf,34,0
2534800,34,0,Inf,34,0
2540352,34,0,Inf,34,0
2545912,34,0,Inf,34,0
2551464,39,0,Inf,35,0
2557024,34,0,Inf,35,0
2562576,34,0,Inf,35,0
2568128,34,0,Inf,35,0
2573688,39,0,Inf,36,0
2579240,34,0,Inf,35,0
2584800,34,0,Inf,35,0
2590352,39,0,Inf,36,0
2595912,34,0,Inf,36,0
2601464,29,0,Inf,34,0
2607016,34,0,Inf,34,0
2612576,39,0,Inf,35,0
2618128,34,0,Inf,34,0
2623688,39,0,Inf,35,0
2629240,34,0,Inf,36,0
2634800,29,0,Inf,35,0
2640352,39,0,Inf,35,0
2645904,39,0,Inf,36,0
2651464,29,0,Inf,34,0
2657016,29,0,Inf,33,0
2662576,34,0,Inf,34,0
2668128,39,0,Inf,34,0
2673684,39,0,Inf,34,0
2679240,34,0,Inf,35,0
2684792,34,0,Inf,36,0
2690352,34,0,Inf,36,0
2695904,34,0,Inf,35,0
2701464,39,0,Inf,35,0
2707016,34,0,Inf,35,0
2712568,34,0,Inf,35,0
2718128,34,0,Inf,35,0
2723680,39,0,Inf,36,0
2729240,29,0,Inf,34,0
2734792,39,0,Inf,35,0
2740352,34,0,Inf,35,0
2745904,34,0,Inf,35,0
2751456,34,0,Inf,34,0
2757016,34,0,Inf,35,0
2762568,39,0,Inf,35,0
2768128,34,0,Inf,35,0
2773680,34,0,Inf,35,0
2779240,29,0,Inf,34,0
2784792,39,0,Inf,35,0
2790344,39,0,Inf,35,0
2795904,34,0,Inf,35,0
2801456,39,0,Inf,36,0
2807016,29,0,Inf,36,0
2812568,39,0,Inf,36,0
2818128,34,0,Inf,35,0
2823680,34,0,Inf,35,0
2829232,34,0,Inf,34,0
2834792,39,0,Inf,36,0
2840344,39,0,Inf,36,0
2845904,34,0,Inf,36,0
2851456,39,0,Inf,37,0
2857016,39,0,Inf,38,0
2862568,39,0,Inf,38,0
2868120,34,0,Inf,37,0
2873680,29,0,Inf,36,0
2879232,34,0,Inf,35,0
2884792,39,0,Inf,35,0
2890344,39,0,Inf,35,0
2895900,34,0,Inf,35,0
2901456,34,0,Inf,36,0
2907008,34,0,Inf,36,0
2912568,39,0,Inf,36,0
2918120,34,0,Inf,35,0
2923688,29,0,Inf,34,0
2929240,34,0,Inf,34,0
2934796,34,0,Inf,34,0
2940352,34,0,Inf,33,0
2945904,34,0,Inf,33,0
2951464,34,0,Inf,34,0
2957016,34,0,Inf,34,0
2962576,34,0,Inf,34,0
2968128,34,0,Inf,34,0
2973680,34,0,Inf,34,0
2979240,34,0,Inf,34,0
2984792,34,0,Inf,34,0
2990352,34,0,Inf,34,0
2995904,29,0,Inf,33,0
3001464,39,0,Inf,34,0
3007016,34,0,Inf,34,0
3012568,39,0,Inf,35,0
3018128,34,0,Inf,35,0
3023680,29,0,Inf,35,0
